거래일자,N,연속,누적,종목코드,종목명,현재가,등락률,거래량,시가,고가,저가,PER
20250106,1.0,1.0,1.0,084650,랩지노믹스,3515.0,29.94,47062678.0,2760.0,3515.0,2755.0,-11.68
20250106,2.0,1.0,1.0,253840,수젠텍,9110.0,29.96,21305169.0,7210.0,9110.0,7110.0,-12.58
20250106,3.0,2.0,2.0,123010,아이윈플러스,1940.0,29.94,4844214.0,1727.0,1940.0,1662.0,-7.05
20250106,4.0,1.0,1.0,430690,한싹,5090.0,29.85,2069917.0,4030.0,5090.0,3985.0,47.13
20250106,5.0,1.0,1.0,434480,모니터랩,4445.0,29.97,4558954.0,3540.0,4445.0,3495.0,47.8
20250106,6.0,1.0,1.0,299170,더블유에스아이,1703.0,30.0,3534116.0,1310.0,1703.0,1296.0,47.31
20250106,7.0,2.0,2.0,208710,바이오로그디바이스,717.0,29.89,8680726.0,607.0,717.0,600.0,-2.88
20250106,8.0,1.0,1.0,090150,아이윈,1127.0,29.99,5486917.0,888.0,1127.0,883.0,-1.37
20250106,9.0,1.0,1.0,317120,라닉스,4530.0,29.99,1540356.0,4300.0,4530.0,3915.0,-4.62
20250106,10.0,1.0,1.0,076080,웰크론한텍,1417.0,30.0,2310435.0,1090.0,1417.0,1090.0,-1.44
